time,latitude,longitude,depth_km,magnitude,seismic_moment_Nm,location,cumulative_moment_Nm,years_since_start,moment_release_rate_Nm_per_year
1868-08-13,-18.5,-70.5,25,8.8,1.7782794100389228e+22,"Arica, Chile",1.7782794100389228e+22,0.0,
1906-01-31,1.0,-81.5,25,8.8,1.7782794100389228e+22,Ecuador-Colombia,3.5565588200778455e+22,37.464750171115675,1.7782794100389228e+22
1906-04-18,37.75,-122.55,5,7.9,7.943282347242853e+20,"San Francisco, California",3.6359916435502742e+22,37.67556468172484,1.8577122335113513e+22
1920-12-16,36.5,105.7,15,7.8,5.6234132519034906e+20,"Haiyuan, China",3.6922257760693093e+22,52.33949349760438,5.6234132519034906e+20
1923-02-03,54.0,161.0,15,8.3,3.1622776601683794e+21,"Kamchatka, Russia",4.008453542086147e+22,54.47227926078029,3.1622776601683794e+21
1927-05-22,37.8,102.6,15,7.6,2.818382931264449e+20,"Gulang, China",4.036637371398791e+22,58.76796714579056,2.818382931264449e+20
1931-02-02,39.4,177.8,20,7.9,7.943282347242853e+20,"Napier, New Zealand",4.116070194871219e+22,62.469541409993155,7.943282347242853e+20
1938-02-01,-5.05,131.62,25,8.5,6.309573444801942e+21,"Banda Sea, Indonesia",4.747027539351414e+22,69.46748802190281,6.309573444801942e+21
1939-01-25,-36.2,-72.2,35,7.8,5.6234132519034906e+20,"Chillan, Chile",4.803261671870448e+22,70.44763860369609,6.871914769992291e+21
1939-12-26,39.77,39.53,20,7.8,5.6234132519034906e+20,"Erzincan, Turkey",4.859495804389483e+22,71.36481861738535,1.1246826503806981e+21
1944-12-07,33.7,136.2,40,7.9,7.943282347242853e+20,"Tonankai, Japan",4.938928627861911e+22,76.31485284052019,7.943282347242853e+20
1946-04-01,53.49,-163.0,15,8.6,8.91250938133744e+21,"Unimak Island, Alaska",5.830179565995655e+22,77.6290212183436,8.91250938133744e+21
1946-12-20,32.8,134.8,30,7.9,7.943282347242853e+20,"Nankaido, Japan",5.909612389468083e+22,78.34907597535934,9.706837616061726e+21
1950-08-15,28.5,96.5,15,8.6,8.91250938133744e+21,"Assam, India",6.800863327601827e+22,82.00136892539356,1.782501876267488e+22
1950-08-15,28.36,96.45,15,8.6,8.91250938133744e+21,Assam-Tibet,7.692114265735571e+22,82.00136892539356,1.782501876267488e+22
1952-11-04,52.76,160.06,21,9.0,3.5481338923357603e+22,"Kamchatka, Russia",1.1240248158071332e+23,84.22450376454483,3.5481338923357603e+22
1957-03-09,51.56,-175.39,33,8.6,8.91250938133744e+21,"Andreanof Islands, Alaska",1.2131499096205076e+23,88.56673511293634,8.91250938133744e+21
1957-07-28,18.0,-101.5,60,7.8,5.6234132519034906e+20,"Guerrero, Mexico",1.2187733228724111e+23,88.95277207392198,9.47485070652779e+21
1960-01-13,-35.42,-73.48,35,7.6,2.818382931264449e+20,"Concepcion, Chile",1.2215917058036755e+23,91.41409993155374,2.818382931264449e+20
1960-05-22,-38.24,-73.05,25,9.5,1.9952623149688827e+23,"Valdivia, Chile",3.2168540207725584e+23,91.77002053388091,1.998080697900147e+23
1963-10-13,44.9,149.6,23,8.5,6.309573444801942e+21,Kuril Islands,3.2799497552205776e+23,95.16221765913758,6.309573444801942e+21
1964-03-28,61.02,-147.65,25,9.2,7.079457843841402e+22,"Prince William Sound, Alaska",3.987895539604718e+23,95.61943874058863,7.710415188321597e+22
1965-02-04,51.21,178.5,30,8.7,1.2589254117941714e+22,"Rat Islands, Alaska",4.113788080784135e+23,96.47638603696099,8.338383255635574e+22
1968-05-16,40.9,143.35,25,7.9,7.943282347242853e+20,"Tokachi-oki, Japan",4.121731363131378e+23,99.75359342915812,7.943282347242853e+20
1970-01-04,24.22,102.5,10,7.5,1.995262314968883e+20,"Tonghai, China",4.123726625446347e+23,101.39082819986311,1.995262314968883e+20
1976-02-04,24.2,122.7,30,7.5,1.995262314968883e+20,Taiwan,4.1257218877613155e+23,107.47433264887064,1.995262314968883e+20
1976-07-27,39.6,118.0,11,7.5,1.995262314968883e+20,"Tangshan, China",4.127717150076284e+23,107.95071868583162,3.990524629937766e+20
1978-12-12,38.2,142.04,30,7.7,3.9810717055349857e+20,"Miyagi, Japan",4.131698221781819e+23,110.32717316906229,3.9810717055349857e+20
1979-12-12,-1.6,-79.36,20,7.7,3.9810717055349857e+20,Ecuador,4.135679293487354e+23,111.32648870636551,7.962143411069971e+20
1985-03-03,-33.24,-71.85,33,7.8,5.6234132519034906e+20,"Valparaiso, Chile",4.141302706739257e+23,116.55030800821355,5.6234132519034906e+20
1985-09-19,18.19,-102.53,15,8.0,1.1220184543019652e+21,"Michoacan, Mexico",4.1525228912822766e+23,117.09787816563997,1.6843597794923142e+21
1990-06-20,36.96,49.41,18,7.4,1.4125375446227611e+20,"Manjil-Rudbar, Iran",4.1539354288268997e+23,121.84804928131418,1.4125375446227611e+20
1990-07-16,15.71,121.16,26,7.7,3.9810717055349857e+20,"Luzon, Philippines",4.1579165005324345e+23,121.91923340177961,5.3936092501577466e+20
1992-09-02,7.5,-77.5,20,7.6,2.818382931264449e+20,Nicaragua,4.160734883463699e+23,124.05201916495551,2.818382931264449e+20
1994-10-04,43.77,147.32,14,8.3,3.1622776601683794e+21,Kuril Islands,4.1923576600653824e+23,126.13826146475017,3.1622776601683794e+21
1995-07-30,-23.34,-70.29,47,7.8,5.6234132519034906e+20,"Antofagasta, Chile",4.197981073317286e+23,126.95687885010267,3.7246189853587286e+21
1995-10-09,19.06,-104.21,33,8.0,1.1220184543019652e+21,"Colima-Jalisco, Mexico",4.209201257860305e+23,127.15126625598904,1.6843597794923142e+21
1998-03-25,-0.89,80.33,10,7.5,1.995262314968883e+20,Balleny Islands,4.211196520175274e+23,129.6098562628337,1.995262314968883e+20
1999-08-17,40.75,29.86,17,7.6,2.818382931264449e+20,"Izmit, Turkey",4.214014903106538e+23,131.00616016427105,2.818382931264449e+20
1999-09-20,23.77,120.98,8,7.6,2.818382931264449e+20,"Chi-Chi, Taiwan",4.216833286037803e+23,131.09924709103353,5.636765862528898e+20
2001-01-26,23.41,70.23,16,7.7,3.9810717055349857e+20,"Bhuj, India",4.2208143577433375e+23,132.4517453798768,3.9810717055349857e+20
2001-06-23,-16.26,-73.64,33,8.4,4.466835921509653e+21,Southern Peru,4.265482716958434e+23,132.85694729637234,4.864943092063151e+21
2002-11-03,63.52,-147.44,4,7.9,7.943282347242853e+20,"Denali, Alaska",4.2734259993056766e+23,134.22039698836414,7.943282347242853e+20
2003-09-25,41.82,143.91,27,8.3,3.1622776601683794e+21,"Hokkaido, Japan",4.30504877590736e+23,135.1129363449692,3.9566058948926647e+21
2004-12-23,-49.31,161.35,10,8.1,1.5848931924611107e+21,Macquarie Island,4.3208977078319714e+23,136.35865845311432,1.5848931924611107e+21
2004-12-26,3.3,95.78,30,9.1,5.011872336272714e+22,Sumatra-Andaman Islands,4.822084941459243e+23,136.3668720054757,5.170361655518826e+22
2005-03-28,2.09,97.11,30,8.6,8.91250938133744e+21,"Nias, Indonesia",4.911210035272618e+23,136.61875427789187,6.9528635317863135e+22
2005-03-28,2.08,97.01,30,8.6,8.91250938133744e+21,Northern Sumatra,5.0003351290859923e+23,136.61875427789187,6.9528635317863135e+22
2006-05-03,-20.19,-174.17,55,8.0,1.1220184543019652e+21,Tonga,5.011555313629012e+23,137.71663244353184,1.1220184543019652e+21
2006-11-15,46.59,153.27,10,8.3,3.1622776601683794e+21,Kuril Islands,5.043178090230695e+23,138.25325119780973,4.2842961144703447e+21
2007-04-01,-8.47,157.04,10,8.1,1.5848931924611107e+21,Solomon Islands,5.0590270221553065e+23,138.6283367556468,5.869189306931455e+21
2007-09-12,-4.44,101.37,34,8.5,6.309573444801942e+21,Southern Sumatra,5.1221227566033256e+23,139.07734428473648,1.1056744297431432e+22
2009-09-29,-15.49,-172.1,18,8.1,1.5848931924611107e+21,Samoa,5.137971688527937e+23,141.1252566735113,1.5848931924611107e+21
2010-02-27,-36.12,-72.9,22,8.8,1.7782794100389228e+22,"Maule, Chile",5.315799629531829e+23,141.53867214236823,1.9367687292850337e+22
2010-04-04,32.3,-115.3,32,7.2,7.079457843841402e+19,"Baja California, Mexico",5.316507575316213e+23,141.637234770705,1.9438481871288752e+22
2011-03-11,38.3,142.37,29,9.1,5.011872336272714e+22,"Tohoku, Japan",5.817694808943485e+23,142.57084188911705,5.0189517941165554e+22
2011-07-06,-29.5,-176.3,20,7.6,2.818382931264449e+20,Kermadec Islands,5.820513191874749e+23,142.8911704312115,5.0400561655853586e+22
2012-04-11,2.33,93.06,20,8.6,8.91250938133744e+21,Off Sumatra,5.909638285688124e+23,143.65776865160848,9.194347674463885e+21
2013-02-06,-10.8,165.14,24,8.0,1.1220184543019652e+21,Santa Cruz Islands,5.920858470231143e+23,144.48186173853526,1.0034527835639404e+22
2013-05-24,54.89,153.22,609,8.3,3.1622776601683794e+21,Sea of Okhotsk,5.952481246832827e+23,144.7748117727584,4.2842961144703447e+21
2014-04-01,-19.61,-70.77,25,8.2,2.238721138568347e+21,"Iquique, Chile",5.97486845821851e+23,145.6290212183436,5.400998798736726e+21
2015-04-25,28.15,84.71,8,7.8,5.6234132519034906e+20,"Gorkha, Nepal",5.9804918714704134e+23,146.694045174538,5.6234132519034906e+20
2015-05-12,27.84,86.08,15,7.3,1e+20,Nepal aftershock,5.9814918714704136e+23,146.74058863791925,6.62341325190349e+20
2015-09-16,-31.57,-71.67,22,8.3,3.1622776601683794e+21,"Illapel, Chile",6.013114648072097e+23,147.08829568788502,3.8246189853587286e+21
2016-08-24,42.7,13.23,8,6.2,2.238721138568347e+18,Central Italy,6.013137035283483e+23,148.02737850787133,3.164516381306948e+21
2017-09-08,15.02,-93.9,58,8.2,2.238721138568347e+21,"Chiapas, Mexico",6.035524246669166e+23,149.0677618069815,2.238721138568347e+21
2018-08-05,-8.26,116.45,15,6.9,2.511886431509592e+19,"Lombok, Indonesia",6.0357754353123175e+23,149.97399041752226,2.263840002883443e+21
2018-09-28,-0.18,119.85,10,7.5,1.995262314968883e+20,"Palu, Indonesia",6.037770697627286e+23,150.12183436002738,2.246450958119842e+20
2019-05-26,-5.88,-75.27,122,8.0,1.1220184543019652e+21,Northern Peru,6.048990882170306e+23,150.7789185489391,1.3466635501139494e+21
2020-01-28,19.42,-78.75,10,7.7,3.9810717055349857e+20,Caribbean Sea,6.05297195387584e+23,151.45516769336072,1.5201256248554637e+21
2020-07-22,55.05,-158.53,28,7.8,5.6234132519034906e+20,Alaska Peninsula,6.058595367127744e+23,151.93702943189595,9.604484957438476e+20
2021-07-29,55.33,-157.84,32,8.2,2.238721138568347e+21,Alaska Peninsula,6.080982578513429e+23,152.9555099247091,2.238721138568347e+21
2021-08-12,18.43,-73.48,10,7.2,7.079457843841402e+19,Haiti,6.081690524297813e+23,152.99383983572895,2.3095157170067611e+21
2022-09-19,18.36,-103.22,20,7.6,2.818382931264449e+20,"Michoacan, Mexico",6.084508907229078e+23,154.0971937029432,2.818382931264449e+20
2023-02-06,37.17,37.03,17,7.8,5.6234132519034906e+20,Turkey-Syria,6.090132320480982e+23,154.4804928131417,1.0437058498136822e+21
2023-02-06,38.01,37.24,10,7.5,1.995262314968883e+20,Turkey-Syria aftershock,6.09212758279595e+23,154.4804928131417,1.0437058498136822e+21
2024-01-01,37.31,137.26,10,7.6,2.818382931264449e+20,"Noto Peninsula, Japan",6.094945965727215e+23,155.38124572210813,1.0437058498136822e+21
